security,session,classification,original_open,original_high,original_low,original_close,corrected_high,corrected_low,violations,max_abs_violation,max_rel_violation,reason
UK_OCDO.L,2024-05-01,MATERIAL_DISCREPANCY,350.79998779296875,343.5,343.5,343.1000061035156,343.5,343.5,high < open; low > close,7.29998779296875,0.021276559787545717,Material discrepancy exceeding 4 ULPs; rejected
UK_OCDO.L,2024-05-02,MATERIAL_DISCREPANCY,344.20001220703125,349.8999938964844,340.8420104980469,350.0,349.8999938964844,340.8420104980469,high < close,0.100006103515625,0.00028573172433035715,Material discrepancy exceeding 4 ULPs; rejected
UK_OCDO.L,2024-10-16,MATERIAL_DISCREPANCY,375.39599609375,370.79998779296875,361.5,361.5,370.79998779296875,361.5,high < open,4.59600830078125,0.012713715908108575,Material discrepancy exceeding 4 ULPs; rejected
UK_PRU.L,2017-06-21,MATERIAL_DISCREPANCY,1497.4795797464808,1494.5863178473173,1472.68005280887,1487.1463623046875,1494.5863178473173,1472.68005280887,high < open,2.8932618991634627,0.0019455125416705213,Material discrepancy exceeding 4 ULPs; rejected
UK_PRU.L,2020-06-15,MATERIAL_DISCREPANCY,1063.5492918589325,1122.46833003229,1072.8356931580051,1099.88916015625,1122.46833003229,1072.8356931580051,low > open,9.286401299072622,0.008443033748740099,Material discrepancy exceeding 4 ULPs; rejected
UK_PRU.L,2024-05-02,MATERIAL_DISCREPANCY,711.1044962386997,711.1044962386997,711.1044962386997,728.2973022460938,711.1044962386997,711.1044962386997,high < close,17.192806007394097,0.023606851150444873,Material discrepancy exceeding 4 ULPs; rejected
UK_REL.L,2017-06-22,MATERIAL_DISCREPANCY,1709.4358090307244,1707.4399703745296,1689.4774224687778,1690.475341796875,1707.4399703745296,1689.4774224687778,high < open,1.9958386561947918,0.0011806375442739872,Material discrepancy exceeding 4 ULPs; rejected
UK_REL.L,2024-05-02,MATERIAL_DISCREPANCY,3257.460055203734,3257.460055203734,3257.460055203734,3282.4482421875,3257.460055203734,3257.460055203734,high < close,24.9881869837659,0.007612667478684504,Material discrepancy exceeding 4 ULPs; rejected
UK_RMV.L,2017-06-22,MATERIAL_DISCREPANCY,418.9059861096867,421.8025641273266,419.7050620852771,421.5029296875,421.8025641273266,419.7050620852771,low > open,0.7990759755904264,0.0018957779870779476,Material discrepancy exceeding 4 ULPs; rejected
UK_RMV.L,2017-06-23,MATERIAL_DISCREPANCY,420.80376596250517,425.4982423311121,421.0814536432922,424.4994201660156,425.4982423311121,421.0814536432922,low > open,0.2776876807870394,0.0006541532628676849,Material discrepancy exceeding 4 ULPs; rejected
UK_RMV.L,2017-06-30,MATERIAL_DISCREPANCY,419.80494379740867,426.1974300393331,420.3043548799569,424.4994201660156,426.1974300393331,420.3043548799569,low > open,0.4994110825482494,0.001176470588235284,Material discrepancy exceeding 4 ULPs; rejected
UK_RMV.L,2020-06-15,MATERIAL_DISCREPANCY,547.9249940102256,569.7060984032237,548.3246109362564,565.1100463867188,569.7060984032237,548.3246109362564,low > open,0.39961692603071697,0.0007071488616878158,Material discrepancy exceeding 4 ULPs; rejected
UK_RMV.L,2024-05-02,MATERIAL_DISCREPANCY,520.023299154673,520.023299154673,520.023299154673,526.6210327148438,520.023299154673,520.023299154673,high < close,6.5977335601706955,0.012528427750327349,Material discrepancy exceeding 4 ULPs; rejected
UK_RTO.L,2017-06-19,MATERIAL_DISCREPANCY,280.7192756339848,286.0120849609375,282.11737333579833,286.0120849609375,286.0120849609375,282.11737333579833,low > open,1.3980977018135263,0.004888246949440872,Material discrepancy exceeding 4 ULPs; rejected
UK_SGE.L,2017-06-27,MATERIAL_DISCREPANCY,717.545347497555,716.0483822385197,705.0706370055947,706.7661743164062,716.0483822385197,705.0706370055947,high < open,1.496965259035278,0.002118048816474788,Material discrepancy exceeding 4 ULPs; rejected
UK_SPX.L,2017-06-29,MATERIAL_DISCREPANCY,5462.173739931209,5447.1952013390755,5302.402661615122,5307.3955078125,5447.1952013390755,5302.402661615122,high < open,14.97853859213319,0.002822201317027296,Material discrepancy exceeding 4 ULPs; rejected
