security,session,classification,original_open,original_high,original_low,original_close,corrected_high,corrected_low,violations,max_abs_violation,max_rel_violation,reason
Brazil_PETR4.SA,2016-06-22,ROUNDOFF_ONLY,2.4074110354290674,2.442482667429062,2.3397731781005864,2.339773178100586,2.442482667429062,2.339773178100586,low > close,4.440892098500626e-16,1.898001113982218e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2016-12-16,ROUNDOFF_ONLY,3.732614056860888,3.792736882495267,3.6975426673889165,3.697542667388916,3.792736882495267,3.697542667388916,low > close,4.440892098500626e-16,1.201038770334634e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2017-06-22,ROUNDOFF_ONLY,2.9460105342894516,3.0161535739898677,2.935990100046535,3.016153573989868,3.016153573989868,2.935990100046535,high < close,4.440892098500626e-16,1.472369357050366e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2017-07-28,ROUNDOFF_ONLY,3.2516332806460957,3.2892100811004634,3.2340975837776282,3.289210081100464,3.289210081100464,3.2340975837776282,high < close,4.440892098500626e-16,1.3501393918307725e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2017-08-18,ROUNDOFF_ONLY,3.29672432129512,3.4069492816925044,3.29672432129512,3.406949281692505,3.406949281692505,3.29672432129512,high < close,4.440892098500626e-16,1.3034805426555922e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2017-09-06,ROUNDOFF_ONLY,3.6699869364991025,3.7626762390136714,3.6349155409696627,3.762676239013672,3.762676239013672,3.6349155409696627,high < close,4.440892098500626e-16,1.1802482638433804e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2017-09-07,ROUNDOFF_ONLY,3.7626762390136714,3.7626762390136714,3.7626762390136714,3.762676239013672,3.762676239013672,3.7626762390136714,high < close,4.440892098500626e-16,1.1802482638433804e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2017-10-09,ROUNDOFF_ONLY,3.9104785285529506,3.9806218147277828,3.9054684303439045,3.980621814727783,3.980621814727783,3.9054684303439045,high < close,4.440892098500626e-16,1.1156277348603935e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2017-12-12,ROUNDOFF_ONLY,3.847849689292422,3.8804161548614498,3.8027578621941927,3.88041615486145,3.88041615486145,3.8027578621941927,high < close,4.440892098500626e-16,1.1444370709922446e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2018-01-17,ROUNDOFF_ONLY,4.4891574198326945,4.599382400512694,4.461601055209734,4.599382400512695,4.599382400512695,4.461601055209734,high < close,8.881784197001252e-16,1.9310819200445686e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2018-04-09,ROUNDOFF_ONLY,5.368451868702578,5.370957036535692,5.142992019653321,5.14299201965332,5.370957036535692,5.14299201965332,low > close,8.881784197001252e-16,1.7269683023151875e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2018-06-18,ROUNDOFF_ONLY,3.707448759377854,3.737570182062553,3.639675378799439,3.6396753787994385,3.737570182062553,3.6396753787994385,low > close,4.440892098500626e-16,1.2201341153576921e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2018-10-26,ROUNDOFF_ONLY,6.706204757808358,6.945262908935546,6.572835887780984,6.945262908935547,6.945262908935547,6.572835887780984,high < close,8.881784197001252e-16,1.2788262033355484e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2018-10-30,ROUNDOFF_ONLY,6.718786273231996,7.045917987823485,6.648326920566335,7.045917987823486,7.045917987823486,6.648326920566335,high < close,8.881784197001252e-16,1.2605574195371629e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2018-11-05,ROUNDOFF_ONLY,6.92009696761368,7.086179256439208,6.897449339140653,7.086179256439209,7.086179256439209,6.897449339140653,high < close,8.881784197001252e-16,1.2533953595557686e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2018-12-18,ROUNDOFF_ONLY,5.755224500650788,5.760277009160746,5.558162212371827,5.558162212371826,5.760277009160746,5.558162212371826,low > close,8.881784197001252e-16,1.5979713901172995e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2019-01-21,ROUNDOFF_ONLY,6.614346538445083,6.67184019088745,6.559466777608761,6.671840190887451,6.671840190887451,6.559466777608761,high < close,8.881784197001252e-16,1.3312345534193388e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2019-02-22,ROUNDOFF_ONLY,7.1997315379657225,7.238931928039075,7.089971542358399,7.089971542358398,7.238931928039075,7.089971542358398,low > close,8.881784197001252e-16,1.25272494310278e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2019-03-22,ROUNDOFF_ONLY,7.301653713698216,7.353920083016285,7.056000232696534,7.056000232696533,7.353920083016285,7.056000232696533,low > close,8.881784197001252e-16,1.2587562222354087e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2019-03-27,ROUNDOFF_ONLY,7.372212827733666,7.372212827733666,7.144853115081788,7.144853115081787,7.372212827733666,7.144853115081787,low > close,8.881784197001252e-16,1.2431024198738314e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2019-05-28,ROUNDOFF_ONLY,6.859324275254474,7.035204410552978,6.859324275254474,7.0352044105529785,7.0352044105529785,6.859324275254474,high < close,8.881784197001252e-16,1.2624770623122703e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2019-08-29,ROUNDOFF_ONLY,6.587807161719383,6.746549606323241,6.529601817370241,6.746549606323242,6.746549606323242,6.529601817370241,high < close,8.881784197001252e-16,1.3164928319324518e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2019-09-26,ROUNDOFF_ONLY,7.249233227573888,7.3286046981811515,7.2042562122849265,7.328604698181152,7.328604698181152,7.2042562122849265,high < close,8.881784197001252e-16,1.2119338622815302e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2019-12-02,ROUNDOFF_ONLY,7.8300413679823,7.856674263692559,7.74215316772461,7.742153167724609,7.856674263692559,7.742153167724609,low > close,8.881784197001252e-16,1.1471982024364388e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2020-02-05,ROUNDOFF_ONLY,7.843903364453035,7.889805746739441,7.665694236755372,7.665694236755371,7.889805746739441,7.665694236755371,low > close,8.881784197001252e-16,1.1586405513560648e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2020-08-31,ROUNDOFF_ONLY,6.026828691184542,6.0565309691226705,5.910720348358155,5.910720348358154,6.0565309691226705,5.910720348358154,low > close,8.881784197001252e-16,1.5026568122899578e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2020-11-18,ROUNDOFF_ONLY,6.477761610847545,6.515564140253925,6.358952999114991,6.35895299911499,6.515564140253925,6.35895299911499,low > close,8.881784197001252e-16,1.396736883923718e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2020-12-14,ROUNDOFF_ONLY,7.568638880102921,7.633443430741629,7.45793104171753,7.457931041717529,7.633443430741629,7.457931041717529,low > close,8.881784197001252e-16,1.190917983462048e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2021-03-10,ROUNDOFF_ONLY,5.924222774991134,6.032230377197265,5.827015675495179,6.032230377197266,6.032230377197266,5.827015675495179,high < close,8.881784197001252e-16,1.4723880955501512e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2024-02-09,ROUNDOFF_ONLY,29.034425004305945,29.16533653054104,28.45566558837891,28.455665588378906,29.16533653054104,28.455665588378906,low > close,3.552713678800501e-15,1.248508374462836e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2024-04-29,ROUNDOFF_ONLY,29.379965440333454,29.85452270507812,29.266638775933664,29.854522705078125,29.854522705078125,29.266638775933664,high < close,3.552713678800501e-15,1.1900085336806272e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_PETR4.SA,2024-05-07,ROUNDOFF_ONLY,29.687972632816148,30.057685852050778,29.577057538770553,30.05768585205078,30.05768585205078,29.577057538770553,high < close,3.552713678800501e-15,1.1819651373986616e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_RADL3.SA,2013-05-27,ROUNDOFF_ONLY,3.8252137726157938,3.8252137726157938,3.7362556457519536,3.736255645751953,3.8252137726157938,3.736255645751953,low > close,4.440892098500626e-16,1.188594282500404e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_RENT3.SA,2013-06-07,ROUNDOFF_ONLY,7.129595404070033,7.222072896156068,7.03491497039795,7.034914970397949,7.222072896156068,7.034914970397949,low > close,8.881784197001252e-16,1.262529004881324e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_RENT3.SA,2013-11-01,ROUNDOFF_ONLY,8.136188336618806,8.190946389244013,7.825891017913819,7.825891017913818,8.190946389244013,7.825891017913818,low > close,8.881784197001252e-16,1.1349230620092265e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_RENT3.SA,2014-04-28,ROUNDOFF_ONLY,7.888287094009076,7.934122756564048,7.723278999328614,7.723278999328613,7.934122756564048,7.723278999328613,low > close,8.881784197001252e-16,1.1500017282521256e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_RENT3.SA,2014-11-05,ROUNDOFF_ONLY,8.032555753623862,8.238518759275639,7.928417682647706,7.928417682647705,8.238518759275639,7.928417682647705,low > close,8.881784197001252e-16,1.1202467569840707e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_RENT3.SA,2015-02-25,ROUNDOFF_ONLY,7.92111900133215,7.960550308227538,7.837616545456372,7.960550308227539,7.960550308227539,7.837616545456372,high < close,8.881784197001252e-16,1.1157249000513923e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_RENT3.SA,2016-03-31,ROUNDOFF_ONLY,7.06530523300171,7.06530523300171,7.06530523300171,7.065305233001709,7.06530523300171,7.065305233001709,low > close,8.881784197001252e-16,1.2570984414820262e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_RENT3.SA,2021-01-14,ROUNDOFF_ONLY,59.96721126611936,62.04864883422851,59.21185018386602,62.048648834228516,62.048648834228516,59.21185018386602,high < close,7.105427357601002e-15,1.1451381280814232e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_SUZB3.SA,2019-10-28,ROUNDOFF_ONLY,28.710335675846387,28.946096123632515,28.535697937011722,28.53569793701172,28.946096123632515,28.53569793701172,low > close,3.552713678800501e-15,1.2450067584267905e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_TOTS3.SA,2017-02-01,ROUNDOFF_ONLY,7.793118000124519,7.864072216564002,7.731032848358155,7.731032848358154,7.864072216564002,7.731032848358154,low > close,8.881784197001252e-16,1.1488483325856628e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_VALE3.SA,2013-02-27,ROUNDOFF_ONLY,15.255286406920915,15.34236431121826,14.902825737179818,15.342364311218262,15.342364311218262,14.902825737179818,high < close,1.7763568394002505e-15,1.1578116666812474e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_VALE3.SA,2018-04-10,ROUNDOFF_ONLY,22.380106389362563,22.911506652832028,22.31368086913817,22.91150665283203,22.91150665283203,22.31368086913817,high < close,3.552713678800501e-15,1.5506242049609424e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_VALE3.SA,2018-07-25,ROUNDOFF_ONLY,26.29407383527962,26.442253112792965,25.926182943489064,26.44225311279297,26.44225311279297,25.926182943489064,high < close,3.552713678800501e-15,1.3435744917976261e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_VALE3.SA,2018-10-31,ROUNDOFF_ONLY,28.571194694810867,29.811820983886715,28.52914062002308,29.81182098388672,29.81182098388672,28.52914062002308,high < close,3.552713678800501e-15,1.191713072717276e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_VALE3.SA,2018-12-19,ROUNDOFF_ONLY,27.230689041601636,27.54610363603608,26.28970527648926,26.289705276489258,27.54610363603608,26.289705276489258,low > close,3.552713678800501e-15,1.351370675873523e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_VALE3.SA,2019-04-23,ROUNDOFF_ONLY,27.12029731288299,27.293773651123043,26.957332990607586,27.293773651123047,27.293773651123047,26.957332990607586,high < close,3.552713678800501e-15,1.3016571926668406e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_VALE3.SA,2019-05-24,ROUNDOFF_ONLY,25.56951439455039,25.98480921434398,25.396038055419925,25.396038055419922,25.98480921434398,25.396038055419922,low > close,3.552713678800501e-15,1.3989243798767637e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_VALE3.SA,2019-07-30,ROUNDOFF_ONLY,26.373815433936244,26.5893498430725,26.28970527648926,26.289705276489258,26.5893498430725,26.289705276489258,low > close,3.552713678800501e-15,1.351370675873523e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_VALE3.SA,2021-02-01,ROUNDOFF_ONLY,50.60149065240331,51.309829711914055,49.79757836090298,51.30982971191406,51.30982971191406,49.79757836090298,high < close,7.105427357601002e-15,1.3848082126749162e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_VALE3.SA,2021-03-23,ROUNDOFF_ONLY,54.83745978196164,55.095962215336876,53.49795532226563,53.497955322265625,55.095962215336876,53.497955322265625,low > close,7.105427357601002e-15,1.3281680233942984e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_VALE3.SA,2021-10-21,ROUNDOFF_ONLY,49.26964579146945,49.706130981445305,48.24457060575396,49.70613098144531,49.70613098144531,48.24457060575396,high < close,7.105427357601002e-15,1.4294871110071655e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_VALE3.SA,2023-12-26,ROUNDOFF_ONLY,60.696116372180825,60.924232823799294,60.30280303955079,60.30280303955078,60.924232823799294,60.30280303955078,low > close,7.105427357601002e-15,1.178291389363902e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_WEGE3.SA,2013-01-11,ROUNDOFF_ONLY,3.026296814934233,3.0755052566528316,3.026296814934233,3.075505256652832,3.075505256652832,3.026296814934233,high < close,4.440892098500626e-16,1.4439552944655953e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_WEGE3.SA,2014-06-03,ROUNDOFF_ONLY,3.9420658622951668,3.982798814773559,3.9360305472498327,3.9827988147735596,3.9827988147735596,3.9360305472498327,high < close,4.440892098500626e-16,1.115017932120458e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_WEGE3.SA,2017-12-25,ROUNDOFF_ONLY,7.93834400177002,7.93834400177002,7.93834400177002,7.9383440017700195,7.93834400177002,7.9383440017700195,low > close,8.881784197001252e-16,1.1188459702704837e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_WEGE3.SA,2018-02-21,ROUNDOFF_ONLY,7.506592784840583,7.621072035243188,7.470612525939942,7.470612525939941,7.621072035243188,7.470612525939941,low > close,8.881784197001252e-16,1.18889638114162e-16,Bounded roundoff within 4 ULPs; normalized minimally
Brazil_WEGE3.SA,2023-11-21,ROUNDOFF_ONLY,30.953823313742337,31.148151397705075,30.73173155347865,31.148151397705078,31.148151397705078,30.73173155347865,high < close,3.552713678800501e-15,1.1405857231907047e-16,Bounded roundoff within 4 ULPs; normalized minimally
China_000333.SZ,2014-01-08,ROUNDOFF_ONLY,7.813983917236327,7.813983917236327,7.813983917236327,7.813983917236328,7.813983917236328,7.813983917236327,high < close,8.881784197001252e-16,1.1366524798457208e-16,Bounded roundoff within 4 ULPs; normalized minimally
China_000333.SZ,2014-01-09,ROUNDOFF_ONLY,7.813983917236327,7.813983917236327,7.813983917236327,7.813983917236328,7.813983917236328,7.813983917236327,high < close,8.881784197001252e-16,1.1366524798457208e-16,Bounded roundoff within 4 ULPs; normalized minimally
China_000333.SZ,2014-01-10,ROUNDOFF_ONLY,7.813983917236327,7.813983917236327,7.813983917236327,7.813983917236328,7.813983917236328,7.813983917236327,high < close,8.881784197001252e-16,1.1366524798457208e-16,Bounded roundoff within 4 ULPs; normalized minimally
China_000333.SZ,2015-02-25,ROUNDOFF_ONLY,13.873064041137694,13.873064041137694,13.873064041137694,13.873064041137695,13.873064041137695,13.873064041137694,high < close,1.7763568394002505e-15,1.2804358389270262e-16,Bounded roundoff within 4 ULPs; normalized minimally
China_000333.SZ,2015-08-20,ROUNDOFF_ONLY,13.788921764770265,13.978429665443153,13.540757179260256,13.540757179260254,13.978429665443153,13.540757179260254,low > close,1.7763568394002505e-15,1.31185931176804e-16,Bounded roundoff within 4 ULPs; normalized minimally
China_000333.SZ,2015-12-25,ROUNDOFF_ONLY,14.30329895019531,14.30329895019531,14.30329895019531,14.303298950195312,14.303298950195312,14.30329895019531,high < close,1.7763568394002505e-15,1.241921074002298e-16,Bounded roundoff within 4 ULPs; normalized minimally
China_000333.SZ,2018-08-20,ROUNDOFF_ONLY,30.408985904866373,30.83790779113769,29.957879376559607,30.837907791137695,30.837907791137695,29.957879376559607,high < close,3.552713678800501e-15,1.152060542778292e-16,Bounded roundoff within 4 ULPs; normalized minimally
China_000333.SZ,2018-09-10,ROUNDOFF_ONLY,29.802585601806644,29.802585601806644,29.802585601806644,29.80258560180664,29.802585601806644,29.80258560180664,low > close,3.552713678800501e-15,1.1920823670363468e-16,Bounded roundoff within 4 ULPs; normalized minimally
