system,market,seed,condition,replication_id,rank_spearman_rho,rank_kendall_tau,top1_hit_agreement,top3_set_overlap
P0,US,37,Same-Date Cross-Candidate Bundle Swap,6,0.8333333333333334,0.8333333333333334,0.9166666666666666,1.0
P0,US,37,Matched Random Precedent Replacement,6,0.20833333333333334,0.19444444444444445,0.25,0.4166666666666667
P0,US,37,Same-Date Cross-Candidate Bundle Swap,7,0.9166666666666666,0.888888888888889,1.0,1.0
P0,US,37,Matched Random Precedent Replacement,7,0.375,0.36111111111111116,0.3333333333333333,0.4166666666666667
P0,US,37,Same-Date Cross-Candidate Bundle Swap,8,0.9583333333333334,0.9444444444444445,1.0,1.0
P0,US,37,Matched Random Precedent Replacement,8,0.375,0.36111111111111116,0.4166666666666667,0.4166666666666667
P0,US,37,Same-Date Cross-Candidate Bundle Swap,9,0.875,0.8888888888888888,0.9166666666666666,1.0
P0,US,37,Matched Random Precedent Replacement,9,0.25,0.25,0.3333333333333333,0.4166666666666667
P0,US,37,Same-Date Cross-Candidate Bundle Swap,10,0.8333333333333334,0.8333333333333334,0.9166666666666666,1.0
P0,US,37,Matched Random Precedent Replacement,10,0.20833333333333334,0.19444444444444445,0.3333333333333333,0.4166666666666667
P0,US,37,Same-Date Cross-Candidate Bundle Swap,11,0.9166666666666666,0.888888888888889,1.0,1.0
P0,US,37,Matched Random Precedent Replacement,11,0.375,0.36111111111111116,0.3333333333333333,0.4166666666666667
P0,US,37,Same-Date Cross-Candidate Bundle Swap,12,0.9166666666666666,0.888888888888889,1.0,1.0
P0,US,37,Matched Random Precedent Replacement,12,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
P0,US,37,Same-Date Cross-Candidate Bundle Swap,13,0.9583333333333334,0.9444444444444445,1.0,1.0
P0,US,37,Matched Random Precedent Replacement,13,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
P0,US,37,Same-Date Cross-Candidate Bundle Swap,14,0.9583333333333334,0.9444444444444445,1.0,1.0
P0,US,37,Matched Random Precedent Replacement,14,0.24999999999999997,0.25,0.25,0.4166666666666667
P0,US,37,Same-Date Cross-Candidate Bundle Swap,15,0.9166666666666666,0.888888888888889,1.0,1.0
P0,US,37,Matched Random Precedent Replacement,15,0.25,0.25,0.3333333333333333,0.4166666666666667
P0,US,37,Same-Date Cross-Candidate Bundle Swap,16,0.8333333333333334,0.8333333333333334,0.9166666666666666,1.0
P0,US,37,Matched Random Precedent Replacement,16,0.16666666666666666,0.1388888888888889,0.25,0.4166666666666667
P0,US,37,Same-Date Cross-Candidate Bundle Swap,17,0.9583333333333334,0.9444444444444445,1.0,1.0
P0,US,37,Matched Random Precedent Replacement,17,0.2916666666666667,0.3055555555555555,0.3333333333333333,0.4166666666666667
P0,US,37,Same-Date Cross-Candidate Bundle Swap,18,0.8333333333333334,0.8333333333333334,0.9166666666666666,1.0
P0,US,37,Matched Random Precedent Replacement,18,0.375,0.36111111111111116,0.3333333333333333,0.4166666666666667
P0,US,37,Same-Date Cross-Candidate Bundle Swap,19,0.875,0.8888888888888888,0.9166666666666666,1.0
P0,US,37,Matched Random Precedent Replacement,19,0.04166666666666668,0.02777777777777779,0.25,0.4166666666666667
