draw_id,delta_sharpe_L5,sharpe_P0*_L5,sharpe_P1_L5,delta_sharpe_L10,sharpe_P0*_L10,sharpe_P1_L10,delta_sharpe_L21,sharpe_P0*_L21,sharpe_P1_L21,delta_sharpe_L63,sharpe_P0*_L63,sharpe_P1_L63
21,-0.07256474369812096,0.18727576180186697,0.25984050549998794,0.015028524107327523,0.1871870910988237,0.17215856699149618,-0.08562770996715302,0.46747545692260556,0.5531031668897586,0.05652888281839441,0.332357348566664,0.2758284657482696
22,-0.02022149943579199,0.29310775995178484,0.31332925938757683,-0.05031799774735665,0.13254109082586085,0.1828590885732175,-0.06777635048303954,0.33975452264311906,0.4075308731261586,-0.023077691930190256,-0.0112451030219506,0.011832588908239657
23,0.1261284493999157,0.02348672914152904,-0.10264172025838664,0.11094682120585198,0.2995607911585179,0.18861396995266594,0.06368515384993684,0.37591362254716365,0.3122284686972268,-0.11306290956018311,0.24610152232247262,0.35916443188265573
24,-0.15174109963890214,-0.06814885700642892,0.08359224263247321,0.03949696709804473,0.4517391538160965,0.41224218671805174,0.14445708231156767,0.6066075109979299,0.4621504286863622,-0.04847486501781628,0.20468766522936893,0.2531625302471852
25,0.0028490374235225213,-0.1799785150645455,-0.18282755248806803,-0.17142583094238512,-0.13759284189302892,0.033832989049356194,0.019827528419237905,0.15668758929543172,0.13686006087619382,-0.040896222038432156,0.1349456881163789,0.17584191015481104
26,-0.1760031723016797,0.16273835608198986,0.33874152838366955,0.03416132982147396,0.18872630157697404,0.15456497175550007,0.12533496125019758,0.1523036615029244,0.026968700252726834,-0.18644995401273184,0.20410783740570887,0.3905577914184407
27,-0.09322185518992038,0.0004474077248572874,0.09366926291477766,0.07292207385250321,0.4339935493490349,0.3610714754965317,-0.046137988826391266,0.02559589430109041,0.07173388312748168,-0.06669971968666105,0.13716104847721378,0.20386076816387483
28,-0.08431451177050614,0.4718338449515089,0.556148356722015,-0.04085763287910704,0.18275477374749916,0.2236124066266062,0.06221269183415956,0.43913421451023926,0.3769215226760797,-0.0635394943225564,0.30275729417452746,0.36629678849708386
29,-0.06999937880357515,0.3350947133432928,0.405094092146868,0.0644823113105823,0.3684617406073757,0.3039794292967934,0.04580169753953056,0.3545856827413647,0.30878398520183414,-0.08578160804573565,0.333182537427934,0.41896414547366967
30,0.006013895516501666,0.2605481271660238,0.25453423164952216,0.004329848668830738,0.3242917733878123,0.31996192471898155,-0.10349065255171194,-0.1354842730606619,-0.03199362050894996,-0.04174281826774784,0.27799535037123946,0.3197381686389873
31,-0.022365471762192113,0.29890463684665786,0.32127010860884997,-0.03095117282150353,0.15731036152166306,0.1882615343431666,0.12509460914654846,0.5348048758431371,0.4097102666965886,-0.07288964707294826,0.4525187497457424,0.5254083968186907
32,0.14891453379955188,0.45015226636111433,0.30123773256156244,0.02185996796694176,0.038211266753315626,0.016351298786373866,0.05312461883075037,0.3064168940676052,0.2532922752368548,-0.0019267854926988126,0.44146900914456355,0.44339579463726236
33,-0.028130227612302668,0.03125363054595479,0.05938385815825746,0.03597626274408587,0.13570680159400902,0.09973053884992315,0.05936970889172055,0.23917713528374546,0.1798074263920249,-0.07852132058518879,0.3976285992945012,0.47614991987968996
34,0.03785090066850691,0.19447431707921814,0.15662341641071123,-0.16596949057397398,0.4929089936052921,0.6588784841792661,0.09110660011555521,0.3797774656077986,0.2886708654922434,-0.004878903091633302,0.613396873210935,0.6182757763025682
35,0.2254189053229837,0.4523027837881097,0.22688387846512598,0.07751477505373128,-0.12828703181074858,-0.20580180686447985,-0.17556684500164102,-0.06830862568372531,0.10725821931791571,-0.06933320474298427,0.2984456749301251,0.36777887967310935
36,-0.1282773850207809,0.2758506984005337,0.4041280834213146,-0.04746191744928621,0.1695889409139769,0.2170508583632631,0.14572686781891314,0.5222381864477141,0.376511318628801,-0.09538927738071429,0.31709220926655035,0.41248148664726464
37,-0.0654152198666994,0.3227029454483668,0.3881181653150662,-0.07763047302498571,0.30310816308204247,0.3807386361070282,-0.09836417381027032,0.22087758656232695,0.31924176037259727,0.008447219287293695,0.2563346189032871,0.24788739961599343
38,-0.026406607609497312,0.23305041913786279,0.2594570267473601,0.08476590463327924,-0.19530721088946854,-0.2800731155227478,0.008166769334247093,0.07390152066028116,0.06573475132603407,-0.11018265502950425,0.18297502310501185,0.2931576781345161
39,-0.07913160506195538,0.5341122950158727,0.613243900077828,0.052962928709053836,0.18422184348700912,0.1312589147779553,0.011238678974415106,0.586434048398549,0.5751953694241339,-0.1446080341386945,0.5175019405776808,0.6621099747163753
